"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"SM4862-8",-13.3012744942622,FALSE,26.95,13.4,3.42,44.09,4.29,NA,1.05,3.63,4.86,48.57,273.47,81.34,20.88,1.38,1.02,NA,2.47,11.54,2.09,0.68,2.89,3.01,2.98,8.78,1.09,4.39
"SM4716-27",-13.513177106448,FALSE,30.69,8.46,3.95,NA,3.72,1.59,NA,2.87,6.77,67.7,249.91,91.57,23.8,2.42,NA,1.1,2.51,7.02,1.63,0.66,2.85,2.97,3.37,5.64,1.15,3.95
"AR40-5",-13.6412513050072,FALSE,27.9,12.48,3.65,NA,4.1,1.56,NA,3.59,5.13,51.29,214.73,59.46,26.88,1.04,NA,1.91,2.68,7.47,2.61,0.56,3.04,1.26,3.39,7.87,1.02,3.58
"CM8996-596",-13.6684328198073,FALSE,24.98,15.99,3.2,NA,3.09,2.07,NA,4.31,6.44,64.42,220.53,80.54,21.9,1.3,NA,1.08,2.26,16.13,1.62,0.67,2.56,3,2.36,9.89,1.02,3.77
"GM10194-1",-13.7367716273666,FALSE,26.38,13.36,3.26,41.53,3.53,NA,1.16,4.06,4.13,41.27,297.67,148.13,23.07,1.64,1.08,NA,2.08,12.44,1.96,0.98,2.63,2.31,3.72,10.74,1.08,4.2
"AR9-14",-13.9200524484113,FALSE,28.72,11.42,3.8,NA,4.42,1.48,NA,3.55,3.73,37.34,232.06,62.67,20.37,1.42,NA,1.68,2.57,13.54,1.74,0.51,2.79,2.98,3.02,7.54,1.03,4.02
"GM3738-25",-13.9297643932948,FALSE,26.66,7.79,2.41,41.66,3.52,5.25,1.1,2.31,5.74,57.38,265.48,97.74,25.56,1.12,1.02,1.75,2.32,6.33,2.49,0.57,2.91,3.02,3.86,5.11,1.08,4
"SM4876-1",-14.0216746832724,FALSE,26.92,12.31,3.31,44.18,4.27,5.03,1.06,4.2,4.32,43.18,259.13,68.39,26.83,1.71,1.16,1.22,2.49,12.26,1.54,0.7,2.67,2.69,2.9,8.19,1.03,3.77
"BRA787",-14.4044080391189,FALSE,27.02,12.05,3.35,NA,2.67,1.82,NA,3.62,7.04,70.38,257.33,123.32,25.69,2.14,NA,1.19,2.5,17.69,1.88,0.57,2.96,1.07,3.62,8.02,1.14,3.95
"SM4576-66",-14.7269959279141,FALSE,27.83,9.44,3.23,43.87,3.44,5.57,1.1,2.79,6.62,66.24,299.16,182.44,29.42,2.22,1.04,1.18,2.1,8.17,2.19,0.62,2.76,3.01,3.57,6.05,1.07,4.49
"SM4565-1",-14.7618975762254,FALSE,28.26,9.03,3.32,NA,4.24,6.15,NA,2.53,6.46,64.6,253.85,78.14,25.42,1.52,NA,1.05,2.52,7.36,1.88,0.68,2.96,3.01,3.11,5.84,1.03,4.03
"GM10054B-3",-15.294831045052,FALSE,28.11,13.4,4.1,45.9,4.04,1.4,1.05,4.05,7.06,70.62,257.44,72.74,28.55,2.54,1.03,1.28,2.05,14.29,2.1,0.61,2.75,3,3.35,8.81,1.68,3.88
"SM4864-33",-15.8933587497871,FALSE,26.97,9.7,3.11,43.4,3.22,NA,1.07,2.73,3.83,38.35,326.74,160.08,23.05,1.45,1.02,NA,1.96,9.12,1.87,1.12,2.7,3,3.44,7.78,1.08,4.24
"GM7671-9",-15.9013828809085,FALSE,28.78,11.16,4.03,44.69,4.46,1.96,1.11,3.36,4.72,47.23,253.33,60.3,24.46,2.53,1.01,1.29,2.14,10.49,1.77,0.58,2.86,2.94,3.25,7.27,1.93,3.83
